"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
World,"16,643,033","+7,603","656,495",+414,"10,231,720","5,754,818","66,580","2,135",84.2,,,
,,,,,,,,,,,,
USA,"4,433,410",,"150,444",,"2,136,603","2,146,363","19,100","13,388",454,"55,018,236","166,145","331,145,197"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Brazil,"2,443,480",,"87,679",,"1,667,667","688,134","8,318","11,490",412,"12,601,096","59,252","212,669,472"
India,"1,482,503",,"33,448",,"953,189","495,866","8,944","1,074",24,"16,806,803","12,170","1,380,974,594"
,,,,,,,,,,,,
Russia,"818,120",,"13,354",,"603,329","201,437","2,300","5,606",92,"27,141,966","185,981","145,939,220"
South Africa,"452,529",,"7,067",,"274,925","170,537",539,"7,623",119,"2,802,211","47,206","59,361,137"
Mexico,"395,489","+4,973","44,022",+342,"256,777","94,690","3,922","3,065",341,"924,359","7,164","129,029,171"
Peru,"389,717",,"18,418",,"272,547","98,752","1,439","11,808",558,"2,250,256","68,182","33,003,766"
Chile,"347,923",,"9,187",,"319,954","18,782","1,555","18,189",480,"1,546,097","80,829","19,128,035"
Spain,"325,862",,"28,434",,N/A,N/A,617,"6,969",608,"6,320,836","135,187","46,756,155"
UK,"300,111",,"45,759",,N/A,N/A,104,"4,419",674,"14,981,525","220,601","67,912,305"
Iran,"293,606",,"15,912",,"255,144","22,550","3,819","3,492",189,"2,353,532","27,995","84,068,250"
Pakistan,"274,289",,"5,842",,"241,026","27,421","1,229","1,240",26,"1,890,236","8,546","221,178,468"
Saudi Arabia,"268,934",,"2,760",,"222,936","43,238","2,126","7,717",79,"3,056,956","87,715","34,851,095"
Colombia,"257,101",,"8,777",,"131,161","117,163","1,493","5,049",172,"1,439,436","28,268","50,921,453"
Italy,"246,286",,"35,112",,"198,593","12,581",45,"4,074",581,"6,586,123","108,943","60,454,987"
Turkey,"227,019",,"5,630",,"210,469","10,920","1,263","2,690",67,"4,617,971","54,713","84,403,549"
Bangladesh,"226,225",,"2,965",,"125,683","97,577",1,"1,373",18,"1,124,417","6,823","164,806,606"
Germany,"207,379",,"9,205",,"191,400","6,774",261,"2,475",110,"7,418,812","88,526","83,803,959"
France,"183,079",,"30,209",,"80,815","72,055",410,"2,804",463,"2,982,302","45,682","65,284,371"
Argentina,"167,416",,"3,059",,"72,575","91,782","1,002","3,702",68,"647,714","14,322","45,225,564"
Canada,"114,597",,"8,901",,"99,860","5,836","2,225","3,034",236,"3,863,830","102,310","37,765,990"
Iraq,"112,585",,"4,458",,"77,144","30,983",415,"2,795",111,"929,839","23,084","40,281,305"
Qatar,"109,597",,165,,"106,328","3,104",92,"39,033",59,"477,194","169,953","2,807,805"
Indonesia,"100,303",,"4,838",,"58,173","37,292",,366,18,"1,394,759","5,095","273,729,387"
Egypt,"92,482",,"4,652",,"34,838","52,992",41,903,45,"135,000","1,318","102,463,710"
China,"83,959",+68,"4,634",,"78,934",391,6,58,3,"90,410,000","62,814","1,439,323,776"
Kazakhstan,"83,122",,585,,"52,571","29,966",221,"4,423",31,"2,064,778","109,872","18,792,532"
Philippines,"82,040",,"1,945",,"26,446","53,649",351,748,18,"1,359,829","12,398","109,682,866"
Ecuador,"81,161",,"5,532",,"34,896","40,733",350,"4,595",313,"225,293","12,756","17,661,500"
Sweden,"79,395",,"5,700",,N/A,N/A,49,"7,858",564,"820,606","81,217","10,103,878"
Oman,"77,058",,393,,"57,028","19,637",177,"15,065",77,"300,493","58,749","5,114,887"
Bolivia,"71,181","+1,752","2,647",+64,"21,478","47,056",71,"6,092",227,"152,606","13,061","11,684,107"
Belarus,"67,251",,538,,"60,492","6,221",89,"7,117",57,"1,257,399","133,071","9,449,086"
Belgium,"66,428",+402,"9,822",+1,"17,452","39,154",52,"5,730",847,"1,562,934","134,813","11,593,364"
Ukraine,"65,656",,"1,616",,"36,112","27,928",82,"1,502",37,"970,705","22,206","43,712,999"
Kuwait,"64,379",,438,,"55,057","8,884",121,"15,060",102,"489,566","114,520","4,274,932"
Dominican Republic,"64,156",,"1,083",,"30,204","32,869",268,"5,910",100,"244,643","22,536","10,855,678"
Israel,"63,985",,474,,"27,133","36,378",311,"6,957",52,"1,651,766","179,587","9,197,590"
Panama,"61,442",,"1,322",,"35,086","25,034",158,"14,225",306,"211,373","48,935","4,319,425"
UAE,"59,177",,345,,"52,510","6,322",,"5,978",35,"4,875,295","492,513","9,898,815"
Netherlands,"53,151",,"6,141",,N/A,N/A,16,"3,101",358,"851,885","49,708","17,137,723"
Singapore,"50,838",,27,,"45,692","5,119",,"8,685",5,"1,170,049","199,883","5,853,676"
Portugal,"50,299",,"1,719",,"35,375","13,205",45,"4,934",169,"1,528,600","149,945","10,194,402"
Romania,"45,902",,"2,206",,"25,794","17,902",353,"2,387",115,"1,110,534","57,758","19,227,511"
Guatemala,"45,309",,"1,761",,"32,455","11,093",5,"2,526",98,"140,925","7,856","17,937,831"
Poland,"43,402",,"1,676",,"32,856","8,870",69,"1,147",44,"2,134,334","56,399","37,843,430"
Nigeria,"41,180",,860,,"18,203","22,117",7,199,4,"266,323","1,290","206,466,283"
Bahrain,"39,482",,141,,"36,110","3,231",44,"23,156",83,"798,799","468,492","1,705,044"
Honduras,"39,276",,"1,116",,"4,922","33,238",61,"3,961",113,"95,574","9,639","9,915,396"
Armenia,"37,390",,711,,"26,665","10,014",10,"12,616",240,"157,466","53,132","2,963,660"
Afghanistan,"36,263",,"1,269",,"25,198","9,796",31,930,33,"87,378","2,241","38,985,434"
Switzerland,"34,477",,"1,978",,"30,900","1,599",20,"3,982",228,"764,894","88,333","8,659,226"
Ghana,"33,624",,168,,"29,801","3,655",8,"1,081",5,"378,735","12,172","31,115,726"
Kyrgyzstan,"33,296",,"1,301",,"21,205","10,790",24,"5,098",199,"267,718","40,989","6,531,535"
Azerbaijan,"30,446",,423,,"23,242","6,781",66,"3,001",42,"690,386","68,047","10,145,749"
Japan,"29,989",,996,,"22,116","6,877",67,237,8,"720,501","5,698","126,446,391"
Algeria,"27,973",,"1,163",,"18,837","7,973",58,637,26,,,"43,904,415"
Ireland,"25,892",,"1,764",,"23,364",764,6,"5,239",357,"614,784","124,408","4,941,694"
Serbia,"24,141",,543,,"14,047","9,551",171,"2,764",62,"631,274","72,273","8,734,622"
Moldova,"23,154",,748,,"16,154","6,252",362,"5,741",185,"128,076","31,755","4,033,238"
Uzbekistan,"21,209",,121,,"11,674","9,414",138,633,4,"1,377,915","41,128","33,502,769"
Morocco,"20,887",,316,,"16,553","4,018",31,565,9,"1,168,113","31,621","36,941,409"
Austria,"20,558",,713,,"18,246","1,599",16,"2,282",79,"853,169","94,689","9,010,176"
Nepal,"18,752",,48,,"13,754","4,950",,643,2,"659,677","22,613","29,172,149"
Kenya,"17,975",,285,,"7,833","9,857",44,334,5,"279,612","5,193","53,848,724"
Cameroon,"17,110",,391,,"14,539","2,180",30,644,15,"145,000","5,454","26,588,078"
,,,,,,,,,,,,
Costa Rica,"15,841",,115,,"3,824","11,902",56,"3,108",23,"81,266","15,942","5,097,460"
Ivory Coast,"15,655",,96,,"10,361","5,198",,593,4,"96,097","3,637","26,420,049"
Czechia,"15,516",,373,,"11,428","3,715",15,"1,449",35,"660,855","61,702","10,710,478"
Venezuela,"15,463",,142,,"9,746","5,575",26,544,5,"1,491,737","52,471","28,429,691"
Australia,"15,302",+367,167,+6,"9,311","5,824",50,600,7,"4,026,554","157,775","25,520,783"
El Salvador,"15,035",,408,,"7,778","6,849",491,"2,317",63,"229,186","35,321","6,488,621"
Ethiopia,"14,547",,228,,"6,386","7,933",66,126,2,"389,348","3,381","115,145,696"
S. Korea,"14,203",+28,300,+1,"13,007",896,12,277,6,"1,537,704","29,991","51,272,531"
Denmark,"13,547",,613,,"12,417",517,3,"2,338",106,"1,455,354","251,195","5,793,723"
Sudan,"11,424",,720,,"5,939","4,765",,260,16,401,9,"43,915,489"
Bulgaria,"10,621",,347,,"5,585","4,689",39,"1,529",50,"243,126","35,011","6,944,275"
Palestine,"10,621",,78,,"3,752","6,791",,"2,079",15,"155,355","30,408","5,109,092"
Bosnia and Herzegovina,"10,498",,294,,"4,930","5,274",,"3,201",90,"132,646","40,451","3,279,204"
North Macedonia,"10,213",,466,,"5,564","4,183",55,"4,902",224,"96,194","46,172","2,083,367"
Senegal,"9,764",,194,,"6,477","3,093",50,582,12,"105,443","6,287","16,771,780"
Madagascar,"9,690",,91,,"6,260","3,339",88,349,3,"38,587","1,391","27,736,194"
Norway,"9,132",,255,,"8,752",125,2,"1,684",47,"427,651","78,840","5,424,314"
Malaysia,"8,904",,124,,"8,601",179,,275,4,"937,645","28,944","32,395,042"
DRC,"8,844",,208,,"5,700","2,936",,99,2,,,"89,727,453"
French Guiana,"7,514",,42,,"6,047","1,425",25,"25,116",140,"37,081","123,945","299,172"
Finland,"7,398",,329,,"6,920",149,,"1,335",59,"341,000","61,537","5,541,370"
Haiti,"7,315",,157,,"4,365","2,793",,641,14,"17,129","1,501","11,412,306"
Tajikistan,"7,235",,60,,"6,028","1,147",,757,6,,,"9,551,601"
Gabon,"7,189",,49,,"4,682","2,458",11,"3,225",22,"70,059","31,429","2,229,125"
Guinea,"7,055",,45,,"6,257",753,24,536,3,"14,407","1,095","13,155,137"
Luxembourg,"6,321",,112,,"4,825","1,384",6,"10,087",179,"400,903","639,731","626,674"
Mauritania,"6,208",,156,,"4,653","1,399",3,"1,333",33,"57,253","12,293","4,657,377"
Djibouti,"5,059",,58,,"4,977",24,,"5,115",59,"56,366","56,993","988,994"
Croatia,"4,881",,139,,"3,936",806,9,"1,190",34,"112,834","27,499","4,103,265"
Albania,"4,880",,144,,"2,745","1,991",17,"1,696",50,"34,477","11,981","2,877,556"
CAR,"4,599",,59,,"1,546","2,994",2,951,12,"29,361","6,072","4,835,456"
Zambia,"4,552",,140,,"2,815","1,597",18,247,8,"76,072","4,131","18,416,007"
Paraguay,"4,548",,43,,"2,905","1,600",13,637,6,"119,256","16,706","7,138,697"
Hungary,"4,448",,596,,"3,329",523,6,461,62,"328,583","34,020","9,658,452"
Greece,"4,227",,202,,"1,374","2,651",9,406,19,"451,317","43,316","10,419,057"
Lebanon,"3,882",,51,,"1,709","2,122",36,569,7,"268,761","39,390","6,823,051"
Malawi,"3,664",,99,,"1,645","1,920",4,191,5,"27,596","1,440","19,161,288"
Nicaragua,"3,439",,108,,"2,492",839,,519,16,,,"6,630,110"
Maldives,"3,369",,15,,"2,547",807,12,"6,225",28,"74,107","136,934","541,188"
Thailand,"3,295",,58,,"3,111",126,1,47,0.8,"685,316","9,816","69,813,122"
Congo,"3,200",,54,,829,"2,317",,579,10,,,"5,526,784"
Somalia,"3,196",,93,,"1,543","1,560",2,201,6,,,"15,920,851"
Equatorial Guinea,"3,071",,51,,842,"2,178",,"2,185",36,"16,000","11,382","1,405,735"
Mayotte,"2,900",,38,,"2,672",190,1,"10,613",139,"13,000","47,578","273,238"
Montenegro,"2,893",,45,,809,"2,039",7,"4,606",72,"33,612","53,516","628,072"
Libya,"2,827",,64,,577,"2,186",,411,9,"47,038","6,839","6,877,799"
Sri Lanka,"2,805",,11,,"2,121",673,1,131,0.5,"153,065","7,146","21,419,915"
Hong Kong,"2,779",,22,,"1,495","1,262",40,370,3,"524,969","69,983","7,501,381"
Zimbabwe,"2,704",,36,,542,"2,126",,182,2,"122,770","8,252","14,877,889"
Cuba,"2,532",,87,,"2,351",94,1,224,8,"250,415","22,110","11,326,087"
Mali,"2,513",,124,,"1,913",476,,124,6,"21,698","1,070","20,286,899"
Cabo Verde,"2,328",,22,,"1,550",756,,"4,184",40,"41,634","74,825","556,416"
Eswatini,"2,316",,34,,"1,025","1,257",5,"1,995",29,"20,784","17,902","1,161,020"
South Sudan,"2,305",,46,,"1,175","1,084",,206,4,"12,044","1,075","11,202,987"
Slovakia,"2,181",,28,,"1,616",537,2,399,5,"253,691","46,465","5,459,843"
Slovenia,"2,087",,116,,"1,733",238,3,"1,004",56,"127,940","61,540","2,078,960"
Estonia,"2,034",,69,,"1,923",42,1,"1,533",52,"117,044","88,228","1,326,603"
Lithuania,"2,019",,80,,"1,620",319,6,743,29,"504,056","185,373","2,719,151"
Guinea-Bissau,"1,954",,26,,803,"1,125",5,991,13,"1,500",761,"1,971,003"
Rwanda,"1,879",,5,,975,899,,145,0.4,"248,294","19,140","12,972,747"
Iceland,"1,854",,10,,"1,823",21,,"5,431",29,"125,513","367,637","341,405"
Namibia,"1,843",,8,,101,"1,734",24,724,3,"23,140","9,096","2,544,005"
Sierra Leone,"1,783",,66,,"1,317",400,,223,8,,,"7,987,728"
Benin,"1,770",,35,,"1,036",699,1,146,3,"85,863","7,071","12,143,271"
Mozambique,"1,701",,11,,596,"1,094",,54,0.4,"53,465","1,708","31,309,944"
Yemen,"1,691",,483,,833,375,,57,16,120,4,"29,868,907"
New Zealand,"1,557",+1,22,,"1,514",21,,311,4,"457,334","91,428","5,002,100"
Suriname,"1,483",,24,,925,534,8,"2,526",41,"1,244","2,119","587,010"
Tunisia,"1,455",,50,,"1,157",248,3,123,4,"90,175","7,624","11,827,424"
Latvia,"1,219",,31,,"1,045",143,2,647,16,"191,871","101,815","1,884,502"
Uruguay,"1,202",,35,,951,216,5,346,10,"104,958","30,207","3,474,628"
Jordan,"1,176",,11,,"1,041",124,3,115,1,"571,390","55,962","10,210,372"
Liberia,"1,167",,72,,646,449,,230,14,,,"5,065,361"
Georgia,"1,137",,16,,922,199,5,285,4,"204,356","51,235","3,988,576"
Niger,"1,136",,69,,"1,027",40,,47,3,"9,052",373,"24,257,345"
Uganda,"1,128",,2,,986,140,,25,0.04,"262,277","5,723","45,828,193"
Burkina Faso,"1,100",,53,,926,121,,53,3,,,"20,939,133"
Cyprus,"1,060",,19,,852,189,,877,16,"196,479","162,648","1,207,998"
Angola,950,,41,,242,667,15,29,1,"10,000",304,"32,928,236"
Chad,922,,75,,810,37,,56,5,,,"16,455,035"
Andorra,907,,52,,803,52,,"11,737",673,"3,750","48,529","77,274"
Togo,874,,18,,607,249,2,105,2,"40,856","4,928","8,291,267"
Sao Tome and Principe,865,,14,,734,117,,"3,942",64,"2,805","12,783","219,432"
Jamaica,853,+11,10,,714,129,,288,3,"36,795","12,422","2,962,126"
Botswana,739,,2,,63,674,1,314,0.8,"66,744","28,344","2,354,776"
,,,,,,,,,,,,
Diamond Princess,712,,13,,651,48,4,,,,,
Malta,701,,9,,665,27,,"1,587",20,"120,995","273,973","441,631"
San Marino,699,,42,,657,0,,"20,598","1,238","5,729","168,818","33,936"
Syria,674,,40,,210,424,,38,2,,,"17,527,951"
Réunion,657,,4,,592,61,4,733,4,"35,419","39,540","895,777"
Channel Islands,584,,47,,533,4,,"3,357",270,"30,721","176,580","173,978"
Tanzania,509,,21,,183,305,7,9,0.4,,,"59,839,710"
Lesotho,505,,12,,128,365,,236,6,"7,463","3,482","2,143,479"
Taiwan,462,,7,,440,15,,19,0.3,"80,623","3,385","23,820,024"
Vietnam,431,,,,365,66,,4,,"275,000","2,823","97,401,565"
Bahamas,382,,11,,91,280,1,971,28,"4,014","10,200","393,513"
Burundi,378,,1,,301,76,,32,0.08,"13,573","1,139","11,912,498"
Guyana,370,,20,,181,169,4,470,25,"4,273","5,431","786,833"
Comoros,354,,7,,328,19,,407,8,,,"870,819"
Myanmar,350,,6,,292,52,,6,0.1,"111,425","2,047","54,436,439"
Mauritius,344,,10,,332,2,,270,8,"205,285","161,397","1,271,927"
Isle of Man,336,,24,,312,0,,"3,950",282,"7,843","92,199","85,066"
Gambia,326,,8,,66,252,,135,3,"4,515","1,865","2,420,891"
Mongolia,288,,,,218,70,6,88,,"33,392","10,175","3,281,901"
Martinique,269,,15,,98,156,4,717,40,"12,227","32,584","375,243"
Eritrea,265,,,,191,74,,75,,,,"3,549,833"
Cambodia,226,+1,,,147,79,1,14,,"60,029","3,587","16,735,052"
Faeroe Islands,214,,,,188,26,2,"4,378",,"35,451","725,310","48,877"
Guadeloupe,203,,14,,176,13,3,507,35,"15,235","38,075","400,129"
Cayman Islands,203,,1,,202,0,,"3,086",15,"28,904","439,431","65,776"
Gibraltar,185,,,,180,5,,"5,491",,"19,731","585,663","33,690"
Bermuda,154,,9,,141,4,1,"2,473",145,"20,407","327,771","62,260"
Trinidad and Tobago,148,,8,,128,12,,106,6,"6,550","4,679","1,399,827"
Brunei,141,,3,,138,0,,322,7,"37,058","84,650","437,779"
Aruba,119,,3,,102,14,,"1,114",28,"10,111","94,672","106,800"
Monaco,116,,4,,104,8,,"2,955",102,"38,209","973,180","39,262"
Sint Maarten,114,,15,,63,36,,"2,657",350,634,"14,775","42,910"
Seychelles,114,,,,39,75,,"1,159",,,,"98,392"
Barbados,110,,7,,94,9,,383,24,"10,544","36,687","287,402"
Turks and Caicos,97,,2,,35,60,1,"2,503",52,"1,103","28,462","38,753"
Bhutan,95,,,,85,10,,123,,"41,477","53,712","772,211"
Antigua and Barbuda,86,,3,,65,18,1,878,31,"1,237","12,624","97,988"
Liechtenstein,86,,1,,81,4,,"2,255",26,900,"23,600","38,136"
Papua New Guinea,62,,,,11,51,,7,,"10,000","1,116","8,958,371"
French Polynesia,62,,,,60,2,,221,,"4,649","16,543","281,027"
St. Vincent Grenadines,52,,,,39,13,,469,,"1,834","16,528","110,966"
Saint Martin,49,,3,,41,5,1,"1,266",77,"1,080","27,899","38,711"
Belize,48,,2,,26,20,,121,5,"3,166","7,952","398,114"
Macao,46,,,,46,0,,71,,"4,071","6,264","649,951"
Curaçao,29,,1,,24,4,,177,6,"1,080","6,580","164,143"
Fiji,27,,,,18,9,,30,,"4,000","4,460","896,918"
Saint Lucia,24,,,,22,2,,131,,"2,968","16,158","183,689"
Timor-Leste,24,,,,24,0,,18,,"1,568","1,188","1,320,125"
Grenada,23,,,,23,0,,204,,"5,465","48,551","112,562"
New Caledonia,22,,,,22,0,,77,,"10,119","35,419","285,695"
Laos,20,,,,19,1,,3,,"25,875","3,553","7,282,865"
Dominica,18,,,,18,0,,250,,"1,005","13,959","71,999"
Saint Kitts and Nevis,17,,,,15,2,,319,,948,"17,811","53,226"
Greenland,14,,,,13,1,,247,,"5,742","101,133","56,777"
Falkland Islands,13,,,,13,0,,"3,729",,"1,816","520,941","3,486"
Montserrat,12,,1,,10,1,,"2,404",200,61,"12,220","4,992"
Vatican City,12,,,,12,0,,"14,981",,,,801
Caribbean Netherlands,11,,,,7,4,,419,,424,"16,159","26,240"
Western Sahara,10,,1,,8,1,,17,2,,,"598,280"
MS Zaandam,9,,2,,,7,,,,,,
British Virgin Islands,8,,1,,7,0,,264,33,439,"14,514","30,246"
St. Barth,7,,,,6,1,,709,,"1,246","126,126","9,879"
Saint Pierre Miquelon,4,,,,1,3,,691,,,,"5,792"
Anguilla,3,,,,3,0,,200,,380,"25,311","15,013"
